风险等级,地区,区域,已筛选地区
中风险,黑龙江,哈尔滨市南岗区林家街10号（汉林美苑小区1号楼）,哈尔滨市南岗区
中风险,黑龙江,哈尔滨市南岗区清滨路14号,哈尔滨市南岗区
中风险,黑龙江,哈尔滨市南岗区鲁商凤凰城3栋,哈尔滨市南岗区
中风险,黑龙江,哈尔滨市南岗区南航花园B栋,哈尔滨市南岗区
中风险,江苏,宿迁市宿城区双庄街道浙富世贸广场3号楼,宿迁市宿城区
中风险,江苏,徐州市睢宁县李岳小区18号楼,徐州市睢宁县
中风险,江苏,徐州市睢宁县景湖小区一期4号楼,徐州市睢宁县
中风险,江苏,徐州市泉山区余二菜馆（矿南小区24号楼西侧平房）,徐州市泉山区
中风险,江苏,徐州市泉山区永安街道煤建路169小区7号楼,徐州市泉山区
中风险,江苏,徐州市云龙区翠屏山街道玉兰苑C1号楼,徐州市云龙区
中风险,江苏,徐州市鼓楼区环城路坝子街60号弘辉大厦,徐州市鼓楼区
中风险,江苏,徐州市鼓楼区环城街道朱庄小区25号楼,徐州市鼓楼区
中风险,江苏,徐州市贾汪区汴塘镇朱古村,徐州市贾汪区
中风险,江苏,徐州市贾汪区汴塘镇孟省村,徐州市贾汪区
中风险,江苏,徐州市鼓楼区山水路商业街A-1-24,徐州市鼓楼区
中风险,江苏,徐州市鼓楼区中山北路336-6,徐州市鼓楼区
中风险,江苏,徐州市鼓楼区华美东观园10号楼,徐州市鼓楼区
中风险,江苏,徐州市鼓楼区荆南小区14号楼,徐州市鼓楼区
中风险,江苏,徐州市鼓楼区荆南小区2号楼,徐州市鼓楼区
中风险,山东,威海市文登区张淑静鞋料加工厂（文登区环山办城西西街1-3号）,威海市文登区
中风险,广东,茂名市高新区七迳镇山岚村委会上山岚村2号,茂名市高新区
中风险,广东,茂名市电白区坡心镇新河村委会羊甘昌村二组51号,茂名市电白区
中风险,广东,茂名市电白区水东街道西湖西路28号底商01至03号商铺,茂名市电白区
中风险,广东,东莞市高埗镇北王路高埗段86号百茂物流园,东莞市高埗镇
中风险,广东,肇庆市高要区金利镇罗客村,肇庆市高要区
中风险,广东,肇庆市高要区金利镇永利工业园内永顺路1至35号连片区域,肇庆市高要区
中风险,湖南,长沙市天心区城南路街道席草田巷2、3、5、7、9、11、13、15、17、19、20号；天心街1—11号、12-74号（双号）；白沙街8号二单元；席草田巷1号含（萝卜白菜）经营场所；熙台岭巷41—45号（单号）、52-98号（双号）；南福巷6-8号；里仁坡1—7号、11—37号、45号；城南西路93号（德雅村）—109号（好牙医华盛店）以南；里仁坡2—10号以北,长沙市天心区
中风险,湖南,长沙市雨花区左家塘街道天润花园2栋区域,长沙市雨花区
中风险,湖南,长沙市天心区新开铺街道天翔新新家园A栋,长沙市天心区
中风险,湖南,长沙市雨花区东塘街道现代华都小户型楼栋,长沙市雨花区
中风险,湖南,长沙市雨花区中雅培粹学校,长沙市雨花区
中风险,湖南,长沙市雨花区雅礼中学,长沙市雨花区
中风险,湖南,长沙市雨花区东塘街道枫树山社区,长沙市雨花区
中风险,湖南,长沙市岳麓区湖南大学三食堂区域,长沙市岳麓区
中风险,湖南,长沙市岳麓区湖南大学信息科学与工程学院,长沙市岳麓区
中风险,湖南,长沙市岳麓区阳光100小区一期二期三期,长沙市岳麓区
中风险,湖南,长沙市天心区大托铺街道火云山庄烤全羊店（湘江南路店）,长沙市天心区
中风险,湖南,衡阳市衡东县石滩乡石金村小泉屋组,衡阳市衡东县
中风险,天津,西青区市张家窝镇香榭园26号楼1门,天津市西青区
中风险,天津,西青区市西营门街赵苑西里8号楼,天津市西青区
中风险,江西,抚州市南城县G35济广高速鹰瑞段南城服务区,抚州市南城县
中风险,江西,南昌市新建区石岗镇长征路15号,南昌市新建区
中风险,江西,南昌市新建区石岗镇田北村谌家老居,南昌市新建区
中风险,江西,南昌市新建区石岗镇界坛村,南昌市新建区
中风险,四川,乐山市犍为县玉津镇滨江路东方花园小区,乐山市犍为县
中风险,四川,乐山市犍为县玉津镇麻柳路翠湖公园小区,乐山市犍为县
中风险,四川,乐山市犍为县玉津镇罗城路众恒中央公园E区,乐山市犍为县
中风险,河北,廊坊市霸州市杨芬港镇褚西村,廊坊市霸州市
中风险,河北,廊坊市安次区东沽港镇桃园村,廊坊市安次区
中风险,河北,廊坊市安次区东沽港镇淘河村,廊坊市安次区
中风险,河北,邯郸市鸡泽县浮图店镇,邯郸市鸡泽县
中风险,河北,唐山市路北区君瑞联合农贸市场,唐山市路北区
中风险,辽宁,大连市金普新区马桥子街道凯悦公寓B座,大连市金普新区
中风险,辽宁,营口市鲅鱼圈区新港小区,营口市鲅鱼圈区
中风险,辽宁,营口市鲅鱼圈区恒祥湾·富贵园,营口市鲅鱼圈区
中风险,辽宁,营口市鲅鱼圈区金禾一品财富广场,营口市鲅鱼圈区
中风险,辽宁,营口市鲅鱼圈区金座A区,营口市鲅鱼圈区
中风险,辽宁,营口市鲅鱼圈区群星国际新城,营口市鲅鱼圈区
中风险,辽宁,沈阳市大东区钢花小区,沈阳市大东区
中风险,辽宁,沈阳市大东区中体奥林匹克花园新城,沈阳市大东区
中风险,辽宁,沈阳市大东区惠民家园,沈阳市大东区
中风险,内蒙古,赤峰市巴林左旗西城街道赛汗小区,赤峰市巴林左旗
中风险,上海,浦东新区市北蔡镇御北路235号,上海市浦东新区
中风险,上海,浦东新区市康桥镇苗桥路935弄19号,上海市浦东新区
中风险,上海,浦东新区市北蔡镇鹏飞路411弄6号,上海市浦东新区
中风险,上海,浦东新区市北蔡镇联勤村冯桥南宅,上海市浦东新区
中风险,上海,浦东新区市日京路88号,上海市浦东新区
中风险,上海,闵行区市华漕镇许浦村三队,上海市闵行区
中风险,上海,闵行区市梅陇镇行南村三队,上海市闵行区
中风险,上海,闵行区市梅陇镇许泾村八组,上海市闵行区
中风险,上海,崇明区市长兴镇新港村15队,上海市崇明区
中风险,上海,崇明区市长兴镇长明村21队,上海市崇明区
中风险,上海,嘉定区市江桥镇增建村柴中村民组,上海市嘉定区
中风险,上海,嘉定区市马陆镇康年路261号工地宿舍,上海市嘉定区
中风险,上海,黄浦区市打浦桥街道顺昌路612弄20号,上海市黄浦区
中风险,吉林,吉林市昌邑区左家镇王家岭村,吉林市昌邑区
中风险,吉林,吉林市昌邑区莲花街道沈铁幸福里小区12号楼2单元,吉林市昌邑区
中风险,吉林,吉林市昌邑区桦皮厂镇平胜村,吉林市昌邑区
中风险,吉林,吉林市昌邑区孤店子镇孤店子村,吉林市昌邑区
中风险,吉林,吉林市丰满区小白山乡鸡冠山村1社,吉林市丰满区
中风险,吉林,吉林市丰满区前二道乡王相村5组,吉林市丰满区
中风险,吉林,吉林市丰满区前二道乡王相村5组,吉林市丰满区
中风险,吉林,吉林市丰满区泰山街道如一坊中央公园8号楼,吉林市丰满区
中风险,吉林,吉林市丰满区江南街道恒东花园小区1号楼2单元,吉林市丰满区
中风险,吉林,吉林市昌邑区两家子乡盆窑村3组,吉林市昌邑区
中风险,吉林,吉林市昌邑区土城子乡聂司马村1组,吉林市昌邑区
中风险,吉林,吉林市经开区九站街道雾凇水岸小区,吉林市经开区
中风险,吉林,吉林市龙潭区承德街道江山如画小区3号楼3单元,吉林市龙潭区
中风险,吉林,吉林市昌邑区兴华街道兴田上城7号楼A座,吉林市昌邑区
中风险,吉林,吉林市船营区新北街道张久村6社,吉林市船营区
中风险,吉林,吉林市船营区青岛街道庆丰小区12号楼5单元,吉林市船营区
中风险,吉林,吉林市船营区北山街道乐园一区17号楼,吉林市船营区
中风险,吉林,吉林市船营区北山街道乐园一区12号楼,吉林市船营区
中风险,吉林,吉林市昌邑区东局子街道嘉业花园小区1号楼5单元,吉林市昌邑区
中风险,吉林,吉林市昌邑区民主街道兴国胡同27号岔路乡公寓,吉林市昌邑区
中风险,吉林,吉林市昌邑区桦皮厂镇鳌龙河村,吉林市昌邑区
中风险,吉林,吉林市磐石市驿马镇滚马岭村样子沟屯,吉林市磐石市
中风险,吉林,吉林市昌邑区桦皮厂镇庆祥村,吉林市昌邑区
中风险,吉林,吉林市昌邑区桦皮厂镇乔屯村,吉林市昌邑区
中风险,吉林,吉林市昌邑区桦皮厂镇乐园村,吉林市昌邑区
中风险,吉林,吉林市昌邑区桦皮厂镇东风村,吉林市昌邑区
中风险,吉林,吉林市昌邑区莲花街道卢瓦尔小镇D38号楼,吉林市昌邑区
中风险,吉林,吉林市昌邑区民主街道运河里小区15号楼3单元,吉林市昌邑区
中风险,吉林,吉林市昌邑区站前街道桃花源小区1号楼1单元,吉林市昌邑区
中风险,吉林,吉林市昌邑区哈达湾街道汇丰家园小区15号楼2单元,吉林市昌邑区
中风险,吉林,吉林市昌邑区哈达湾经济开发区神华万利城16栋3单元,吉林市昌邑区
中风险,吉林,吉林市昌邑区两家子满族乡两家子村二组,吉林市昌邑区
中风险,吉林,吉林市昌邑区桦皮厂镇永胜村十二组,吉林市昌邑区
中风险,吉林,吉林市昌邑区桦皮厂镇漂洋村十二组,吉林市昌邑区
中风险,吉林,吉林市昌邑区桦皮厂镇苏登河村四组,吉林市昌邑区
中风险,吉林,吉林市昌邑区两家子乡李屯村,吉林市昌邑区
中风险,吉林,吉林市昌邑区桦皮厂镇张相村,吉林市昌邑区
中风险,吉林,吉林市昌邑区桦皮厂镇桦东村,吉林市昌邑区
中风险,吉林,吉林市船营区北极街道望云山景小区,吉林市船营区
中风险,吉林,吉林市龙潭区山前街道万兴家和小区1号楼2单元,吉林市龙潭区
中风险,吉林,吉林市船营区北极街道森林里小区23号楼4单元,吉林市船营区
中风险,吉林,吉林市丰满区龙城帝景小区103栋,吉林市丰满区
中风险,吉林,长春市经开区兴隆山镇分水村,长春市经开区
中风险,吉林,长春市经开区东方广场街道恒大帝景一期,长春市经开区
中风险,吉林,长春市长春新区飞跃街道新星宇之新观邸,长春市长春新区
中风险,吉林,长春市长春新区硅谷街道昂展公园里,长春市长春新区
中风险,吉林,长春市长春新区超越街道恒盛豪庭,长春市长春新区
中风险,吉林,长春市长春新区北湖街道北湾新城四期,长春市长春新区
中风险,吉林,长春市九台区上河湾镇南甸子村,长春市九台区
中风险,吉林,长春市九台区兴隆街道大荒地村,长春市九台区
中风险,吉林,长春市九台区纪家街道纪家村,长春市九台区
中风险,吉林,长春市九台区纪家街道坐山村,长春市九台区
中风险,吉林,长春市宽城区凯旋街道友谊花园小区,长春市宽城区
中风险,吉林,长春市绿园区青年街道133厂小区,长春市绿园区
中风险,吉林,长春市绿园区林园街道大禹华邦B区,长春市绿园区
中风险,吉林,长春市绿园区林园街道3535小区,长春市绿园区
中风险,吉林,长春市绿园区正阳街道娜奇美4区,长春市绿园区
中风险,吉林,长春市绿园区普阳街道吉业花园,长春市绿园区
中风险,吉林,长春市绿园区普阳街道辽阳街（101栋、143栋、201栋）,长春市绿园区
中风险,吉林,长春市朝阳区湖西街道新星宇福苑二期,长春市朝阳区
中风险,吉林,长春市朝阳区湖西街道开运街1629号楼,长春市朝阳区
中风险,吉林,长春市南关区鸿城街道农研家属楼,长春市南关区
中风险,吉林,长春市南关区明珠街道幸福乡政府宿舍楼,长春市南关区
中风险,吉林,长春市南关区明珠街道万科金域长春,长春市南关区
中风险,吉林,长春市南关区明珠街道力旺美林,长春市南关区
中风险,吉林,长春市南关区明珠街道新城小区,长春市南关区
中风险,吉林,长春市南关区幸福乡国信一期,长春市南关区
中风险,吉林,长春市经开区兴隆山镇吴中北国之春,长春市经开区
中风险,吉林,长春市经开区兴隆山镇金色家园,长春市经开区
中风险,吉林,长春市经开区世纪街道智诚学校,长春市经开区
中风险,吉林,长春市经开区会展街道北海丽景,长春市经开区
中风险,吉林,长春市汽开区锦城街道恒大首府,长春市汽开区
中风险,吉林,长春市汽开区锦城街道中铁国际花园,长春市汽开区
中风险,吉林,长春市汽开区锦城街道47街区,长春市汽开区
中风险,吉林,长春市汽开区锦城街道44街区,长春市汽开区
中风险,吉林,长春市长春新区硅谷街道恒大雅苑,长春市长春新区
中风险,吉林,长春市长春新区超越街道万龙丽水湾二期,长春市长春新区
中风险,吉林,长春市长春新区北湖街道北湖花园,长春市长春新区
中风险,吉林,长春市榆树市刘家镇永生村,长春市榆树市
中风险,吉林,长春市榆树市于家镇万河村,长春市榆树市
中风险,吉林,长春市榆树市于家镇红旗村孙成岗屯,长春市榆树市
中风险,吉林,长春市榆树市向阳镇复兴村,长春市榆树市
中风险,吉林,长春市榆树市土桥镇十四户村,长春市榆树市
中风险,吉林,长春市榆树市黑林镇芦古村,长春市榆树市
中风险,吉林,长春市榆树市泗河镇韩家村,长春市榆树市
中风险,吉林,长春市榆树市新立镇太平村西甸子屯,长春市榆树市
中风险,吉林,长春市榆树市闵家镇金家村,长春市榆树市
中风险,吉林,长春市榆树市闵家镇西北地村,长春市榆树市
中风险,吉林,长春市榆树市大岭镇怀家民主村,长春市榆树市
中风险,吉林,长春市榆树市大岭镇怀家蓝旗村,长春市榆树市
中风险,吉林,长春市榆树市环城乡东岭村小河屯,长春市榆树市
中风险,吉林,长春市榆树市城郊街道富润家园,长春市榆树市
中风险,吉林,长春市榆树市城郊街道和泰府,长春市榆树市
中风险,吉林,长春市榆树市华昌街道图书馆家属楼,长春市榆树市
中风险,吉林,长春市榆树市华昌街道富宇花园,长春市榆树市
中风险,吉林,长春市净月区德正街道东安枫景,长春市净月区
中风险,吉林,长春市净月区德正街道潭泽东南明珠,长春市净月区
中风险,吉林,长春市净月区德正街道保利香槟,长春市净月区
中风险,吉林,长春市净月区永兴街道康诗丹郡,长春市净月区
中风险,吉林,长春市净月区德容街道万科班芙花园,长春市净月区
中风险,吉林,长春市净月区德容街道亚泰华府,长春市净月区
中风险,吉林,长春市净月区德容街道福盛小区,长春市净月区
中风险,吉林,长春市净月区德容街道福临花园,长春市净月区
中风险,吉林,长春市九台区沐石河街道于家村,长春市九台区
中风险,吉林,长春市九台区沐石河街道张家村,长春市九台区
中风险,吉林,长春市九台区沐石河街道杨树村,长春市九台区
中风险,吉林,长春市九台区沐石河街道太和村,长春市九台区
中风险,吉林,长春市九台区沐石河街道沐石河村,长春市九台区
中风险,吉林,长春市九台区沐石河街道卢家村,长春市九台区
中风险,吉林,长春市九台区沐石河街道横道村,长春市九台区
中风险,吉林,长春市九台区沐石河街道河南村,长春市九台区
中风险,吉林,长春市九台区沐石河街道八家子村,长春市九台区
中风险,吉林,长春市九台区沐石河街道孤家子村,长春市九台区
中风险,吉林,长春市九台区上河湾镇幸福家园,长春市九台区
中风险,吉林,长春市九台区上河湾镇吴文祥小区,长春市九台区
中风险,吉林,长春市九台区上河湾镇双顶村,长春市九台区
中风险,吉林,长春市九台区上河湾镇友谊小区老楼,长春市九台区
中风险,吉林,长春市九台区上河湾镇万福花园,长春市九台区
中风险,吉林,长春市九台区其塔木镇北山村,长春市九台区
中风险,吉林,长春市九台区苇子沟街道大苇村,长春市九台区
中风险,吉林,长春市九台区苇子沟街道拉拉村,长春市九台区
中风险,吉林,长春市九台区苇子沟街道官地村,长春市九台区
中风险,吉林,长春市九台区苇子沟街道小苇村,长春市九台区
中风险,吉林,长春市九台区苇子沟街道西山村,长春市九台区
中风险,吉林,长春市九台区主城区,长春市九台区
中风险,吉林,长春市绿园区同心街道,长春市绿园区
中风险,吉林,长春市二道区长青街道十方界,长春市二道区
中风险,吉林,长春市二道区东盛街道上东城市之光,长春市二道区
中风险,吉林,长春市二道区吉林街道吉盛高层小区,长春市二道区
中风险,吉林,长春市二道区吉林街道高格蓝湾,长春市二道区
中风险,吉林,长春市二道区远达街道昊泽家园,长春市二道区
中风险,吉林,长春市二道区八里堡街道力旺康城,长春市二道区
中风险,吉林,长春市朝阳区南湖街道长春大学卫星路以南八公寓,长春市朝阳区
中风险,吉林,长春市朝阳区重庆街道安华公寓西安大路336号,长春市朝阳区
中风险,吉林,长春市南关区明珠街道长春大学公寓,长春市南关区
中风险,吉林,长春市南关区富裕街道金色世界湾,长春市南关区
中风险,吉林,长春市南关区南岭街道御翠豪庭,长春市南关区
中风险,吉林,长春市南关区明珠街道长春大学,长春市南关区
中风险,吉林,长春市南关区鸿城街道卫星花园,长春市南关区
中风险,吉林,长春市南关区明珠街道中铁十三局宿舍,长春市南关区
中风险,吉林,长春市南关区明珠街道卫星商城,长春市南关区
中风险,吉林,长春市朝阳区湖西街道领秀朝阳上院,长春市朝阳区
中风险,吉林,长春市净月区永兴街道伟峰东域商业街工地,长春市净月区
中风险,吉林,长春市经开区兴隆山镇中海寰宇天下,长春市经开区
中风险,吉林,长春市长春新区超越街道修正药业宿舍,长春市长春新区
中风险,吉林,长春市长春新区超越街道大禹褐石,长春市长春新区
中风险,吉林,长春市九台区胡家回族乡周家村6社,长春市九台区
高风险,河北,廊坊市霸州市胜芳镇欧韵城小区,廊坊市霸州市
高风险,河北,唐山市高新技术开发区盛华世家仓储购物市场,唐山市高新技术开发区
高风险,河北,廊坊市安次区葛渔城镇全域,廊坊市安次区
高风险,吉林,长春市绿园区青年路街道宇航社区,长春市绿园区
高风险,吉林,长春市宽城区团山街道小南街社区,长春市宽城区
高风险,吉林,长春市九台区九郊街道新州社区,长春市九台区
高风险,吉林,吉林市昌邑区延江街道江山帝景小区,吉林市昌邑区
高风险,吉林,吉林市昌邑区桦皮厂镇桦皮厂社区,吉林市昌邑区
高风险,吉林,吉林市经开区九站街道农校社区八委十组（九龙路以南、经开大街以东、翰林路以南）,吉林市经开区
高风险,黑龙江,佳木斯市汤原县阳光河畔小区,佳木斯市汤原县
高风险,黑龙江,佳木斯市汤原县东湖城小区,佳木斯市汤原县
高风险,福建,泉州市丰泽区东海街道云山社区,泉州市丰泽区
高风险,福建,泉州市洛江区万安街道吉源小区20号楼,泉州市洛江区
高风险,福建,泉州市鲤城区临江街道伍堡社区伍堡旧街北至四堡街、南至义全街、西至伍堡新街、东至中山南路区域,泉州市鲤城区
高风险,福建,泉州市晋江市陈埭镇海尾村,泉州市晋江市
高风险,福建,泉州市丰泽区东海街道法石社区,泉州市丰泽区
高风险,福建,泉州市晋江市陈埭镇庵上村,泉州市晋江市
高风险,福建,泉州市晋江市陈埭镇江滨南路、鞋都路、九十九溪围合的三角区域,泉州市晋江市
高风险,福建,泉州市晋江市池店镇东山村,泉州市晋江市
高风险,福建,泉州市丰泽区城东街道浔美社区,泉州市丰泽区
高风险,福建,泉州市丰泽区丰泽街道霞淮社区,泉州市丰泽区
高风险,福建,泉州市丰泽区滨海酒店,泉州市丰泽区
高风险,天津,河北区市月牙河街满江里,天津市河北区
高风险,天津,西青区市杨柳青镇锦绣欣居,天津市西青区
高风险,辽宁,沈阳市辽中区茨榆坨街道,沈阳市辽中区
高风险,辽宁,营口市鲅鱼圈区北大荒物流股份有限公司,营口市鲅鱼圈区
高风险,山东,滨州市邹平市黄山街道办事处张山村,滨州市邹平市
高风险,山东,滨州市阳信县翟王镇,滨州市阳信县
高风险,黑龙江,佳木斯市汤原县阳光河畔32号楼,佳木斯市汤原县
